id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_balita_stunting,satuan,tahun
186,32,JAWA BARAT,3276,KOTA DEPOK,6425,ORANG,2020
187,32,JAWA BARAT,3277,KOTA CIMAHI,3708,ORANG,2020
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7746,ORANG,2020
189,32,JAWA BARAT,3279,KOTA BANJAR,1355,ORANG,2020
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,30844,ORANG,2021
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,14347,ORANG,2021
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7768,ORANG,2021
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,20461,ORANG,2021
194,32,JAWA BARAT,3205,KABUPATEN GARUT,10027,ORANG,2021
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,15183,ORANG,2021
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3303,ORANG,2021
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3665,ORANG,2021
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,15220,ORANG,2021
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2934,ORANG,2021
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8117,ORANG,2021
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5208,ORANG,2021
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,2088,ORANG,2021
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3709,ORANG,2021
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3715,ORANG,2021
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,8755,ORANG,2021
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,12488,ORANG,2021
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,999,ORANG,2021
208,32,JAWA BARAT,3271,KOTA BOGOR,3950,ORANG,2021
209,32,JAWA BARAT,3272,KOTA SUKABUMI,1180,ORANG,2021
210,32,JAWA BARAT,3273,KOTA BANDUNG,6312,ORANG,2021
211,32,JAWA BARAT,3274,KOTA CIREBON,2411,ORANG,2021
212,32,JAWA BARAT,3275,KOTA BEKASI,9820,ORANG,2021
213,32,JAWA BARAT,3276,KOTA DEPOK,3726,ORANG,2021
214,32,JAWA BARAT,3277,KOTA CIMAHI,3161,ORANG,2021
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6194,ORANG,2021
216,32,JAWA BARAT,3279,KOTA BANJAR,929,ORANG,2021
